what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1439717255984
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1439717255985
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1439717255986
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1439717255987
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1439717255988
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1439717255990
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1439717255990
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1439717255991
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1439717255993
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1439717255994
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1439717255995
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1439717255997
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1439717255998
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1439717255999
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1439717256000
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1439717256001
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1439717256002
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1439717256003
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1439717256006
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1439717256006
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1439717256008
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1439717256009
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1439717256010
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1439717256011
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1439717256012
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1439717256013
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1439717256014
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1439717256015
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1439717256017
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1439717256017
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1439717256019
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1439717256020
os,sysinfo,,,"win32",1439717256025
arch,sysinfo,,,"x86_64",1439717256025
ws,sysinfo,,,"win32",1439717256025
locale,sysinfo,,,"ru_RU",1439717256025
processors,sysinfo,,,"2",1439717256025
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1439717256025
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1439717256025
java.specification.name,sysinfo,,,"Java Platform API Specification",1439717256025
java.specification.vendor,sysinfo,,,"Oracle Corporation",1439717256025
java.specification.version,sysinfo,,,"1.7",1439717256025
java.vendor,sysinfo,,,"Oracle Corporation",1439717256025
java.version,sysinfo,,,"1.7.0_67",1439717256025
java.vm.info,sysinfo,,,"mixed mode",1439717256025
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1439717256025
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1439717256025
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1439717256025
java.vm.specification.version,sysinfo,,,"1.7",1439717256025
java.vm.vendor,sysinfo,,,"Oracle Corporation",1439717256025
java.vm.version,sysinfo,,,"24.65-b04",1439717256025
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1439717260582
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.5.201309281715,"org.eclipse.cdt.cross.arm.gnu",1439717260587
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1439717260820
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1439717260904
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1439717261029
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1439717267543
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1439717267546
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1439717274600
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1439717274663
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1439717274771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717294730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717318205
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1439717318258
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1439717318284
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1439717318888
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1439717319022
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1439717319039
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1439717319041
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1439717319044
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1439717319286
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1439717319290
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1439717324544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717328546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717384898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717388710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717388953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1439717396630
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1439717401540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717402040
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1439717403890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439717410834
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1439717416363
